time;total;exploitable;vols;memoire;retbdd
Thu May 03 22:24:57 CEST 2018;1103257;935675;9944;9766;0.0
Thu May 03 22:25:10 CEST 2018;1109032;940455;9968;9790;0.0
Thu May 03 22:25:24 CEST 2018;1114788;945334;10014;9831;0.0
Thu May 03 22:25:36 CEST 2018;1120506;950035;10030;9844;0.0
Thu May 03 22:25:50 CEST 2018;1126217;954735;10039;9850;0.0
Thu May 03 22:26:01 CEST 2018;1131920;959448;10053;9865;0.0
Thu May 03 22:26:13 CEST 2018;1137627;964278;10091;9903;0.0
Thu May 03 22:26:25 CEST 2018;1143336;968994;10110;9921;0.0
Thu May 03 22:26:38 CEST 2018;1149030;973708;10122;9929;0.0
Thu May 03 22:27:12 CEST 2018;1154728;978553;10159;9964;0.0
Thu May 03 22:27:28 CEST 2018;1160435;983483;10220;10020;0.0
Thu May 03 22:27:41 CEST 2018;1166143;988216;10239;10036;0.0
Thu May 03 22:27:54 CEST 2018;1171834;993069;10267;10054;0.0
Thu May 03 22:28:08 CEST 2018;1177527;997824;10286;10071;0.0
Thu May 03 22:28:20 CEST 2018;1183208;1002538;10301;10085;0.0
Thu May 03 22:28:33 CEST 2018;1188883;1007386;10338;10117;0.0
Thu May 03 22:28:45 CEST 2018;1194596;1012170;10382;10160;0.0
Thu May 03 22:28:58 CEST 2018;1200299;1016950;10397;10173;0.0
Thu May 03 22:29:09 CEST 2018;1205963;1021665;10408;10181;0.0
Thu May 03 22:29:20 CEST 2018;1211626;1026382;10427;10195;0.0
Thu May 03 22:29:32 CEST 2018;1217282;1031233;10453;10218;0.0
Thu May 03 22:29:45 CEST 2018;1222934;1035949;10475;10234;0.0
Thu May 03 22:29:57 CEST 2018;1228620;1040715;10513;10272;0.0
Thu May 03 22:30:11 CEST 2018;1234301;1045467;10535;10293;0.0
Thu May 03 22:30:24 CEST 2018;1239995;1050381;10591;10343;0.0
Thu May 03 22:30:38 CEST 2018;1245666;1055158;10611;10360;0.0
Thu May 03 22:30:51 CEST 2018;1251346;1059897;10641;10386;0.0
Thu May 03 22:31:03 CEST 2018;1257025;1064760;10693;10430;0.0
Thu May 03 22:31:15 CEST 2018;1262693;1069476;10706;10440;0.0
Thu May 03 22:31:28 CEST 2018;1268366;1074188;10720;10456;0.0
Thu May 03 22:31:41 CEST 2018;1274038;1078870;10738;10471;0.0
Thu May 03 22:31:55 CEST 2018;1279744;1083720;10791;10522;0.0
Thu May 03 22:32:07 CEST 2018;1285447;1088455;10815;10547;0.0
Thu May 03 22:32:19 CEST 2018;1291143;1093182;10832;10562;0.0
Thu May 03 22:32:32 CEST 2018;1296839;1097899;10856;10581;0.0
Thu May 03 22:32:45 CEST 2018;1302538;1102762;10910;10631;0.0
Thu May 03 22:32:58 CEST 2018;1308232;1107474;10933;10651;0.0
