time;total;exploitable;vols;memoire;retbdd
Thu May 03 20:51:24 CEST 2018;1051877;899487;10723;6135;1212.0
Thu May 03 20:51:30 CEST 2018;1057712;904436;10762;6174;1220.0
Thu May 03 20:51:45 CEST 2018;1063558;909438;10801;6199;1230.0
Thu May 03 20:51:51 CEST 2018;1069403;914417;10829;6199;1240.0
Thu May 03 20:52:05 CEST 2018;1075238;919398;10856;6199;1245.0
Thu May 03 20:52:15 CEST 2018;1081058;924371;10885;6200;1255.0
Thu May 03 20:52:27 CEST 2018;1086884;929327;10908;6201;1265.0
Thu May 03 20:52:39 CEST 2018;1092702;934272;10936;6199;1271.0
Thu May 03 20:52:49 CEST 2018;1098519;939207;10961;6196;1279.0
Thu May 03 20:52:59 CEST 2018;1104321;944135;10992;6195;1290.0
Thu May 03 20:53:09 CEST 2018;1110117;949047;11020;6191;1302.0
Thu May 03 20:53:21 CEST 2018;1115910;953943;11052;6186;1311.0
Thu May 03 20:53:36 CEST 2018;1121700;958942;11078;6187;1311.0
Thu May 03 20:53:48 CEST 2018;1127510;963842;11114;6192;1315.0
Thu May 03 20:53:57 CEST 2018;1133319;968749;11142;6191;1320.0
Thu May 03 20:54:11 CEST 2018;1139122;973631;11165;6188;1322.0
Thu May 03 20:54:27 CEST 2018;1144928;978629;11206;6209;1322.0
Thu May 03 20:54:46 CEST 2018;1150728;983527;11225;6201;1322.0
Thu May 03 20:55:01 CEST 2018;1156525;988602;11281;6235;1322.0
Thu May 03 20:55:09 CEST 2018;1162324;993463;11301;6227;1322.0
Thu May 03 20:55:11 CEST 2018;1168123;993463;11301;6198;1322.0
Thu May 03 20:55:17 CEST 2018;1173927;998350;11321;6192;1322.0
Thu May 03 20:55:19 CEST 2018;1179731;998350;11321;6165;1322.0
Thu May 03 20:55:21 CEST 2018;1185535;998352;11323;6138;1324.0
Thu May 03 20:55:26 CEST 2018;1191369;1003255;11367;6148;1330.0
Thu May 03 20:55:29 CEST 2018;1197203;1003265;11377;6127;1340.0
Thu May 03 20:55:50 CEST 2018;1203031;1008172;11405;6130;1347.0
Thu May 03 20:55:57 CEST 2018;1208854;1013197;11454;6153;1348.0
Thu May 03 20:56:09 CEST 2018;1214677;1013207;11462;6137;1358.0
Thu May 03 20:56:16 CEST 2018;1220504;1018105;11499;6143;1367.0
Thu May 03 20:56:22 CEST 2018;1226313;1023012;11531;6141;1377.0
Thu May 03 20:56:30 CEST 2018;1232111;1027867;11563;6135;1385.0
Thu May 03 20:56:42 CEST 2018;1237906;1032779;11596;6126;1400.0
Thu May 03 20:56:52 CEST 2018;1243695;1037634;11627;6118;1414.0
Thu May 03 20:57:02 CEST 2018;1249472;1042503;11659;6111;1422.0
Thu May 03 20:57:13 CEST 2018;1255252;1047393;11689;6116;1433.0
Thu May 03 20:57:28 CEST 2018;1261014;1052263;11711;6108;1443.0
Thu May 03 20:57:35 CEST 2018;1266780;1057171;11745;6108;1452.0
Thu May 03 20:57:41 CEST 2018;1272535;1062065;11774;6098;1469.0
Thu May 03 20:57:51 CEST 2018;1278270;1066966;11807;6095;1475.0
Thu May 03 20:58:00 CEST 2018;1284003;1071846;11841;6082;1479.0
Thu May 03 20:58:11 CEST 2018;1289738;1076712;11866;6077;1485.0
Thu May 03 20:58:21 CEST 2018;1295477;1081574;11892;6079;1499.0
Thu May 03 20:58:31 CEST 2018;1301236;1086472;11928;6094;1510.0
Thu May 03 20:58:40 CEST 2018;1307044;1091404;12004;6142;1526.0
Thu May 03 20:58:50 CEST 2018;1312843;1096315;12021;6129;1534.0
Thu May 03 20:59:09 CEST 2018;1318640;1101323;12084;6159;1547.0
Thu May 03 20:59:16 CEST 2018;1324440;1104763;12091;6147;1556.0
Thu May 03 20:59:23 CEST 2018;1330241;1109644;12133;6154;1584.0
Thu May 03 20:59:35 CEST 2018;1336047;1114553;12177;6170;1607.0
Thu May 03 20:59:41 CEST 2018;1341853;1119436;12214;6187;1619.0
Thu May 03 20:59:50 CEST 2018;1347653;1124309;12246;6204;1632.0
Thu May 03 20:59:59 CEST 2018;1353453;1129191;12273;6221;1637.0
Thu May 03 21:00:18 CEST 2018;1359243;1134056;12295;6235;1637.0
Thu May 03 21:00:44 CEST 2018;1365030;1139069;12337;6263;1643.0
Thu May 03 21:00:51 CEST 2018;1370863;1144135;12408;6322;1643.0
Thu May 03 21:01:09 CEST 2018;1376701;1149061;12444;6326;1643.0
Thu May 03 21:01:18 CEST 2018;1382535;1153988;12470;6311;1645.0
Thu May 03 21:01:25 CEST 2018;1388371;1158935;12506;6319;1645.0
Thu May 03 21:01:33 CEST 2018;1394215;1163864;12540;6316;1645.0
Thu May 03 21:01:41 CEST 2018;1400062;1168815;12571;6310;1645.0
Thu May 03 21:01:49 CEST 2018;1405914;1173760;12604;6310;1645.0
Thu May 03 21:01:55 CEST 2018;1411766;1173766;12609;6277;1651.0
Thu May 03 21:02:02 CEST 2018;1417607;1178687;12631;6270;1655.0
Thu May 03 21:02:12 CEST 2018;1423434;1183585;12655;6259;1656.0
Thu May 03 21:02:28 CEST 2018;1429239;1188459;12675;6245;1658.0
Thu May 03 21:02:39 CEST 2018;1435067;1193367;12699;6242;1661.0
Thu May 03 21:02:47 CEST 2018;1440887;1198222;12714;6230;1663.0
Thu May 03 21:03:00 CEST 2018;1446706;1203120;12739;6219;1666.0
Thu May 03 21:03:09 CEST 2018;1452529;1208137;12784;6228;1666.0
Thu May 03 21:03:19 CEST 2018;1458352;1208141;12788;6206;1670.0
Thu May 03 21:03:25 CEST 2018;1464181;1213031;12820;6208;1670.0
Thu May 03 21:03:39 CEST 2018;1470046;1218072;12883;6244;1670.0
Thu May 03 21:03:44 CEST 2018;1475911;1218077;12888;6220;1675.0
Thu May 03 21:03:51 CEST 2018;1481817;1223056;12946;6243;1681.0
Thu May 03 21:03:59 CEST 2018;1487708;1228034;12981;6241;1687.0
Thu May 03 21:04:11 CEST 2018;1493579;1232998;13017;6216;1696.0
Thu May 03 21:04:18 CEST 2018;1499464;1237935;13050;6212;1699.0
Thu May 03 21:04:22 CEST 2018;1505349;1237937;13052;6178;1701.0
Thu May 03 21:04:30 CEST 2018;1511226;1242880;13083;6170;1709.0
Thu May 03 21:04:43 CEST 2018;1517112;1247850;13129;6179;1720.0
Thu May 03 21:04:53 CEST 2018;1522992;1252777;13164;6179;1727.0
Thu May 03 21:05:01 CEST 2018;1528869;1257716;13197;6185;1730.0
Thu May 03 21:05:12 CEST 2018;1534752;1262638;13230;6190;1742.0
Thu May 03 21:05:22 CEST 2018;1540643;1267594;13269;6192;1758.0
Thu May 03 21:05:33 CEST 2018;1546527;1272529;13320;6190;1783.0
Thu May 03 21:05:42 CEST 2018;1552411;1277462;13375;6208;1804.0
Thu May 03 21:05:59 CEST 2018;1558314;1282558;13452;6251;1816.0
Thu May 03 21:06:05 CEST 2018;1564217;1282575;13467;6240;1833.0
Thu May 03 21:06:17 CEST 2018;1570118;1287513;13507;6253;1847.0
Thu May 03 21:06:25 CEST 2018;1576028;1292483;13559;6275;1866.0
Thu May 03 21:06:31 CEST 2018;1581956;1297456;13615;6297;1882.0
Thu May 03 21:06:43 CEST 2018;1587874;1302341;13655;6313;1892.0
Thu May 03 21:06:50 CEST 2018;1593747;1307212;13691;6314;1909.0
Thu May 03 21:07:02 CEST 2018;1599611;1312061;13740;6331;1929.0
Thu May 03 21:07:14 CEST 2018;1605521;1317002;13794;6363;1938.0
Thu May 03 21:07:24 CEST 2018;1611424;1321937;13841;6390;1950.0
Thu May 03 21:07:31 CEST 2018;1617332;1326868;13880;6406;1957.0
Thu May 03 21:07:45 CEST 2018;1623245;1331775;13921;6422;1967.0
Thu May 03 21:08:01 CEST 2018;1629170;1336822;13995;6463;1981.0
